super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,region,female,k_married,par_mean,par_rank,k_mean,k_median_nozero,k_0inc,k_q1,k_q5,k_top1pc,tier_name,type,iclevel,public,barrons,sat_avg_2013,sat_avg_2001,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000
2665,Vaughn College Of Aeronautics And Technology,New York,NY,30900,53000,36.477882,0.11981525,44.843544,1.7666299,16.357975,0.64442915,-7.9987764,-5.7506108,207.6666666666667,Northeast,0.099518456,0.39375299,42817.99932283306,0.3382726437494422,56313.27651610153,59500,0.10780541,0.12284753,0.47540325,0.0096937828,Nonselective four-year private not-for-profit,private non-profit,4-year,private,9 - Special,,,21642.0,,0.5555555555555556,17385.0,0.22939999,0.13723978,0.19660756,0.34464148,0.057054743
7273,CUNY Bernard M. Baruch College,New York,NY,42800,57600,27.632242,0.55920202,46.824234,2.5568271,12.938586,0.70650864,-9.1865492,-12.297223,1083.0,Northeast,0.55186212,0.46454075,66249.87844817636,0.4264433704346428,69068.91660414742,61700,0.092775069,0.09679132,0.52175194,0.036214296,Selective public,public,4-year,public,3 - Selective,1235.0,1050.0,6561.0,3350.0,,5148.0,0.75169998,0.23454894,0.20506717,0.19239923,0.090518236
2688,City College Of New York - CUNY,New York,NY,35500,48500,32.546474,0.23351549,36.021557,1.4087214,11.723747,0.45848918,-9.8015804,-13.879366,582.3333333333334,Northeast,0.47223812,0.38075513,54008.89980144533,0.3771185075376944,60889.66355716944,53200,0.099116251,0.10705575,0.42457035,0.045307457,Selective public,public,4-year,public,4 - Selective,1130.0,995.0,6389.0,3309.0,0.476538493480608,3537.0,0.65899998,0.13243409,0.37621093,0.3162477,0.060208462
7022,CUNY Lehman College,New York,NY,32500,40700,36.707489,0.0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333333333,Northeast,0.67544484,0.30575472,45762.72521685943,0.3411889164049006,42720.62429659697,43500,0.10412239,0.11072759,0.29562196,0.0034811769,Selective public,public,4-year,public,5 - Selective,995.0,889.0,6408.0,3320.0,,2668.0,0.76719999,0.042473275,0.37330252,0.45333719,0.01502456
1140,"California State University, Los Angeles",Los Angeles,CA,36600,43000,33.116928,0.15598091,29.949804,0.083619982,9.9184551,0.027692368,-13.313572,-14.919846,1179.666666666667,West,0.62447017,0.39761055,52114.62349003956,0.3720243606367971,44225.55413230255,46500,0.10250326,0.11350263,0.32680506,0.0022683069,Selective public,public,4-year,public,4 - Selective,880.0,860.0,6348.0,1724.0,0.3565365025466893,3207.0,0.32480001,0.19961412,0.078658357,0.49421194,0.042297419
2693,CUNY John Jay College Of Criminal Justice,New York,NY,41800,45200,27.158951,0.097911149,35.684139,0.30840749,9.6914377,0.083760239,-3.9944887,-8.185668,1228.0,Northeast,0.59527689,0.32534915,56952.99518610886,0.4057631381948142,49034.96503885044,49300,0.0933792,0.10689215,0.37854564,0.0036612018,Selective public,public,4-year,public,4 - Selective,970.0,860.0,6359.0,3309.0,,3470.0,0.6595,0.05084214,0.29992676,0.37734073,0.011612093
2165,MCPHS University,Boston,MA,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,Northeast,0.70605189,0.65790105,99969.6640625,0.6155493458112081,107741.8359375,115300,0.040613737,0.047544893,0.78173566,0.063397571,Nonselective four-year private not-for-profit,private non-profit,4-year,private,9 - Special,1080.0,1176.0,29500.0,17343.0,0.6174496644295302,28944.0,0.1079,0.35739315,0.056061666,0.011212333,0.043447793
2791,Pace University,New York,NY,68600,60700,15.173292,1.2134688,55.575592,2.761539,8.4326468,0.41901636,-5.950985,-13.538049,1353.333333333333,Northeast,0.59507388,0.50160986,104767.8294469674,0.5537700705046724,68356.63617803264,65800,0.097328581,0.10438566,0.5422824,0.035503972,Selective private,private non-profit,4-year,private,4 - Selective,1050.0,1020.0,39697.0,16230.0,0.5146389069616135,19651.0,0.2317,0.15186794,0.1397046,0.12250217,0.060469158
2838,State University Of New York At Stony Brook,New York,NY,73600,60100,16.416624,0.44201165,51.245296,1.9444995,8.4127474,0.31922117,-6.716249,-10.386624,2070.666666666667,Northeast,0.49581456,0.47865036,91836.9761701143,0.5622652773310581,65407.72770318536,64100,0.090963945,0.096780173,0.54246753,0.030048523,Highly selective public,public,4-year,public,2 - Highly Selective,1250.0,1144.0,8430.0,4253.0,0.659296846683581,8585.0,0.60519999,0.22840764,0.090819947,0.072565436,0.035905559
2696,New York City College Of Technology Of The City University Of New,New York,NY,33500,37000,35.256516,0.10819948,23.638399,0.19894305,8.3340759,0.070140384,-7.0691638,-9.1352043,1488.333333333333,Northeast,0.4450168,0.2838347,44382.75898831187,0.33284428809151,39930.48504251819,40600,0.11009079,0.12091304,0.25440347,0.0025728159,Selective public,public,4-year,public,5 - Selective,,,6369.0,3319.0,,4716.0,0.23199999,0.11534277,0.47515416,0.26441786,0.022669569
